system:index,akurasi,generatif,iddesa,nonsawah,persiapan,vegetatif1,vegetatif2,.geo
523,0.988,0.0,5107080004,0.0,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
524,0.988,0.0,5107080005,0.0,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
525,0.988,0.0,5105010009,0.0,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
526,0.988,0.0,5105010007,0.0,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
527,0.988,0.0,5105010008,0.0,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
528,0.988,0.0,5105010005,0.0,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
529,0.988,0.0,5105010006,0.0,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
530,0.988,0.0,5105010014,0.0,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
531,0.988,0.0,5105010015,0.00246508118872549,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
532,0.988,0.0,5105010012,0.0,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
533,0.988,0.0,5105010013,0.0,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
534,0.988,0.0,5105010010,0.0,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
535,0.988,0.0,5105010011,0.0,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
536,0.988,0.0,5105010003,0.0,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
537,0.988,0.0,5105010004,0.0,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
538,0.988,0.0,5105010001,0.0,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
539,0.988,0.0,5105010002,0.0,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
540,0.988,0.0,5105010016,0.0,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
541,0.988,11.406019234451588,5105020008,66.80934808280193,14.309211639105136,56.50331505873741,74.77901898961672,"{""type"":""MultiPoint"",""coordinates"":[]}"
542,0.988,26.950324972426422,5105020009,55.62813668868719,23.527001932133665,66.42787342183445,79.06838957474038,"{""type"":""MultiPoint"",""coordinates"":[]}"
543,0.988,14.7751279837814,5105020006,73.62053776331298,31.931073371977007,58.54907872337186,65.3507722155643,"{""type"":""MultiPoint"",""coordinates"":[]}"
544,0.988,13.936437750567276,5105020007,79.18130459178246,37.403913006316564,47.77012299121336,52.62380599283856,"{""type"":""MultiPoint"",""coordinates"":[]}"
545,0.988,6.014940909878598,5105020004,64.19163747633988,19.777672963544102,34.07184643819179,90.14382558727804,"{""type"":""MultiPoint"",""coordinates"":[]}"
546,0.988,11.62960477201572,5105020005,36.43931428704961,22.39219495143516,44.22002018582207,45.038263873961306,"{""type"":""MultiPoint"",""coordinates"":[]}"
547,0.988,5.327291034761308,5105020013,6.8953959082509915,6.766548891673361,14.926346351150812,29.658108751304503,"{""type"":""MultiPoint"",""coordinates"":[]}"
548,0.988,15.206474521556185,5105020011,20.86047776930869,11.846948861921744,40.83088510700304,87.04983363969396,"{""type"":""MultiPoint"",""coordinates"":[]}"
549,0.988,14.970769652733928,5105020012,9.946981030931685,20.765785505921606,31.29809670128922,15.925733163799205,"{""type"":""MultiPoint"",""coordinates"":[]}"
550,0.988,8.006055523167037,5105020010,11.388507606392663,11.781857992206646,33.73899252494071,42.22959092838066,"{""type"":""MultiPoint"",""coordinates"":[]}"
551,0.988,23.87956847889627,5105020002,125.716923494849,65.60070511917411,86.15120840190804,63.30381955096075,"{""type"":""MultiPoint"",""coordinates"":[]}"
552,0.988,22.61118307017601,5105020003,38.99095554687502,15.823206893861096,29.583722002048834,49.41124198461204,"{""type"":""MultiPoint"",""coordinates"":[]}"
553,0.988,11.914031032331883,5105020001,32.285550301729074,12.711577539828445,36.156013664574644,61.525354445860735,"{""type"":""MultiPoint"",""coordinates"":[]}"
554,0.988,0.315197383925494,5105030009,2.8697526134057116,0.4915235490507238,0.5713623209635418,2.1593764108695246,"{""type"":""MultiPoint"",""coordinates"":[]}"
