iddesa,nonsawah,persiapan,vegetatif1,vegetatif2,generatif,real_nonsawah,real_persiapan,real_vegetatif1,real_vegetatif2,real_generatif
5101021005,0.055744974,0.154763775,0.486286798,0.233753109,0.069451343,20.52096462,56.97198745,179.0129846,86.04971778,25.56658403
5101021006,0.125222553,0.164205076,0.42996283,0.198009713,0.082599829,54.00127448,70.81219125,185.4182036,85.39018441,35.62054858
5101021003,0.012571498,0.223312341,0.572279091,0.152105565,0.039731505,1.880148342,33.397795,85.58801407,22.74836422,5.942101754
5101021004,0.170726933,0.341336422,0.409697168,0.051189006,0.027050471,29.36578807,58.71137535,70.46972621,8.804735563,4.652800733
5101021001,0.041186049,0.136743146,0.398030106,0.356024932,0.068015767,6.853787591,22.75548401,66.23635608,59.24625749,11.31853223
5101021002,0.023335165,0.376206148,0.539006325,0.057791214,0.003661147,1.906516911,30.73658897,44.03759996,4.72162613,0.299121063
5101021009,0.093455592,0.127252702,0.511246219,0.164409532,0.103635955,18.14258692,24.70363894,99.24851759,31.9169155,20.11890651
5101021010,0.072676276,0.257379585,0.478045907,0.149138091,0.042760141,15.63630731,55.37524085,102.85162,32.08707375,9.199848108
5101030009,0.064755246,0.191586598,0.505334943,0.18195986,0.056363353,22.67737799,67.09389512,176.9690049,63.72259774,19.7385252
5101030007,0.062707671,0.068407028,0.62547108,0.214956202,0.028458019,61.18345307,66.74427734,610.2679313,209.731322,27.76629824
5101030008,0.020406153,0.034833,0.875957009,0.060757573,0.008046265,0.845137329,1.442636896,36.27846849,2.516324049,0.333242587
5101030010,0.038230569,0.135114251,0.466720153,0.269934412,0.090000615,13.30122131,47.00909725,162.3817838,93.91587439,31.31311209
5101030011,0.097243983,0.184823501,0.500693786,0.180184823,0.037053907,31.56808935,59.99882599,162.5390662,58.4929827,12.02872401
5101030005,0.020327602,0.234836748,0.38141415,0.339314853,0.024106647,4.426418208,51.13666052,83.05448813,73.88719433,5.249320699
5101030006,0.028608087,0.141880559,0.312086077,0.432472851,0.084952425,9.984871837,49.51953528,108.9251246,150.9428413,29.65032469
5101030003,0.177936668,0.083465725,0.622665284,0.08810759,0.027824733,23.00555886,10.79134324,80.50483944,11.39149323,3.59747963
5101030004,0.199054758,0.47260913,0.143266068,0.082379319,0.102690726,16.82721762,39.95230641,12.11108603,6.963986943,8.681024291
5101030001,0.071805716,0.151548809,0.440966965,0.292511093,0.043167418,8.652180809,18.26077045,53.13401397,35.24592484,5.201428567
5101030002,0.01327709,0.039953775,0.303335248,0.522008164,0.121425724,2.938628036,8.842998395,67.1374138,115.5364515,26.87524494
5101040008,0,0,0,0,0,0,0,0,0,0
5101040006,0.012716711,0.0853496,0.778593064,0.117065307,0.006275317,1.07467409,7.212793034,65.79797219,9.893049635,0.530319564
5101040007,0,0,0,0,0,0,0,0,0,0
5101040004,0.031098234,0.140923739,0.441116568,0.317329044,0.069532416,6.474770561,29.34085835,91.84214692,66.06911359,14.47691334
5101040005,0.025184537,0.085880539,0.630509943,0.249495048,0.008929933,2.051340089,6.995172956,51.35652558,20.32196154,0.727364153
5101040002,0.204659927,0.162042181,0.476849048,0.12396024,0.032488605,49.129981,38.89930675,114.4707957,29.75748265,7.799106511
5101040003,0.098285009,0.089501484,0.705454881,0.092043123,0.014715503,7.545080912,6.870792886,54.15591064,7.065907789,1.129670347
5101040001,0.237433273,0.139804942,0.49708324,0.104395561,0.021282983,126.9259594,74.73626658,265.7284144,55.80728682,11.37735693
5107010005,0.295833397,0.123554628,0.124019311,0.169984406,0.286608258,49.43478269,20.64640516,20.72405535,28.40498158,47.89323018
5107010006,0.402021568,0.148203798,0.108393089,0.084487341,0.256894204,73.87544207,27.23391465,19.91830298,15.52538513,47.20685267
5107010003,0.237389871,0.19260635,0.178502768,0.270170355,0.121330657,25.04295533,20.31861005,18.83078168,28.50106491,12.79952762
5107010004,0.242376361,0.11996447,0.228802963,0.243230051,0.165626156,36.44496409,18.0384785,34.40399766,36.57332922,24.90440592
5107010001,0.154211055,0.054194079,0.440641106,0.239403298,0.111550462,24.93543096,8.763007955,71.25024768,38.71074229,18.0373505
5107010002,0.267634836,0.165267131,0.20302546,0.211874572,0.152198001,69.05057182,42.63940412,52.3811636,54.66426041,39.2675301
5107020008,0.181863507,0.159651024,0.344157838,0.171188975,0.143138657,29.49598368,25.89339706,55.81809213,27.7647083,23.21529802
5107020009,0.311101891,0.132223373,0.304910126,0.111262858,0.140501752,21.50717388,9.140899316,21.07912323,7.691851803,9.713202322
5107020006,0.168362844,0.110442025,0.387456602,0.216719426,0.117019102,44.56066957,29.23074035,102.5483128,57.35922778,30.97149833
5107020007,0.144996906,0.177812678,0.308034776,0.128935099,0.240220541,14.71729364,18.04811885,31.26575856,13.08700828,24.38256327
